date,fingerprint,type,bytes,num_instances,coverage
2023-04-25,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5899632100727.94,12.00,12.00
2023-04-26,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16750696543.74,12.00,12.00
2023-04-26,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,312361012230.26,12.00,12.00
2023-04-26,5481936581E23D2D178105D44DB6915AB06BFB7F,read,26941716838406.75,12.00,12.00
2023-04-26,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27059238305349.93,12.00,12.00
2023-04-26,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2779208798.40,12.00,12.00
2023-04-26,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,69218838056.23,12.00,12.00
2023-04-26,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6019575274181.39,12.00,12.00
2023-04-26,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6012345448043.56,12.00,12.00
2023-04-27,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16274432235.45,12.00,12.00
2023-04-27,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,299456155796.17,12.00,12.00
2023-04-27,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27343713416588.38,12.00,12.00
2023-04-27,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27449022415045.59,12.00,12.00
2023-04-27,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2681494882.74,12.00,12.00
2023-04-27,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,67551139811.98,12.00,12.00
2023-04-27,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6016367313678.28,12.00,12.00
2023-04-27,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6006250244777.03,12.00,12.00
2023-04-28,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15662606360.08,12.00,12.00
2023-04-28,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,288692613026.09,12.00,12.00
2023-04-28,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27664361122098.28,12.00,12.00
2023-04-28,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27757103735619.63,12.00,12.00
2023-04-28,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2784551428.11,12.00,12.00
2023-04-28,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,67290182726.15,12.00,12.00
2023-04-28,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6323997647636.59,12.00,12.00
2023-04-28,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6317031945378.84,12.00,12.00
2023-04-29,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15163984440.30,12.00,12.00
2023-04-29,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,291151976545.54,12.00,12.00
2023-04-29,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27471700695924.03,12.00,12.00
2023-04-29,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27549577505532.25,12.00,12.00
2023-04-29,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2592230116.53,12.00,12.00
2023-04-29,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,64356536241.59,12.00,12.00
