date,fingerprint,transport,users,num_instances,coverage
2017-08-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-09,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.14,1.00,0.68
2017-08-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-08-12,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.82
2017-08-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.85,1.00,0.71
2017-08-13,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.35
2017-08-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.12,1.00,0.29
2017-08-14,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.65
2017-08-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-15,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.43
2017-08-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-16,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,1.00
2017-08-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-17,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.96
2017-08-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-08-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-09-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-09-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-09-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-09-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-09-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-09-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-09-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
2017-09-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.77,1.00,1.00
2017-09-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-09-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
2017-09-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-09-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-09-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-10-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.77,1.00,1.00
2017-10-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-10-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
2017-10-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-10-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-10-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.00,1.00,1.00
2017-10-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.77,1.00,1.00
2017-10-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
