date,transport,users,frac
2018-10-06,snowflake,2.55,100.00
2018-10-07,snowflake,2.00,100.00
2018-10-08,snowflake,2.00,100.00
2018-10-09,snowflake,2.00,100.00
2018-10-10,snowflake,2.00,100.00
2018-10-11,snowflake,2.00,100.00
2018-10-12,snowflake,2.25,100.00
2018-10-13,snowflake,2.80,100.00
2018-10-14,snowflake,2.30,100.00
2018-10-15,snowflake,1.45,100.00
2018-10-16,snowflake,2.00,100.00
2018-10-17,snowflake,2.25,100.00
2018-10-18,snowflake,2.30,100.00
2018-10-19,<OR>,0.32,100.00
2018-10-19,snowflake,1.14,100.00
2018-10-20,<OR>,0.68,100.00
2018-10-20,snowflake,1.57,100.00
2018-10-21,snowflake,2.80,100.00
2018-10-22,snowflake,2.55,100.00
2018-10-23,snowflake,2.25,100.00
2018-10-24,snowflake,2.80,100.00
2018-10-25,snowflake,2.80,100.00
2018-10-26,snowflake,2.80,100.00
2018-10-27,snowflake,3.05,100.00
2018-10-28,snowflake,3.35,100.00
2018-10-29,snowflake,2.55,100.00
2018-10-30,snowflake,2.76,100.00
2018-10-31,snowflake,4.15,100.00
2018-11-01,snowflake,3.60,100.00
2018-11-02,snowflake,3.35,100.00
2018-11-03,snowflake,2.80,100.00
2018-11-04,snowflake,1.92,100.00
2018-11-22,snowflake,1.66,100.00
2018-11-23,snowflake,1.33,100.00
2018-11-24,snowflake,1.87,100.00
2018-11-25,snowflake,2.00,100.00
2018-11-26,snowflake,0.67,100.00
2018-11-27,snowflake,2.40,100.00
2018-11-28,snowflake,1.47,100.00
2018-11-29,snowflake,1.20,100.00
2018-11-30,snowflake,1.87,100.00
2018-12-01,snowflake,2.00,100.00
2018-12-02,snowflake,2.67,100.00
2018-12-03,snowflake,2.13,100.00
2018-12-04,snowflake,3.33,100.00
2018-12-05,snowflake,2.27,100.00
2018-12-06,snowflake,2.00,100.00
2018-12-07,snowflake,2.00,100.00
2018-12-08,snowflake,2.00,100.00
2018-12-09,snowflake,2.67,100.00
2018-12-10,snowflake,1.23,100.00
2018-12-11,snowflake,2.61,100.00
2018-12-12,snowflake,2.99,100.00
2018-12-13,snowflake,2.00,100.00
2018-12-14,snowflake,2.61,100.00
2018-12-15,snowflake,2.69,100.00
2018-12-16,snowflake,0.90,100.00
2018-12-17,snowflake,1.01,100.00
2018-12-18,snowflake,2.30,100.00
2018-12-19,snowflake,2.50,100.00
2018-12-20,snowflake,2.30,100.00
2018-12-21,snowflake,1.89,100.00
2018-12-22,snowflake,1.01,100.00
2018-12-23,snowflake,1.39,100.00
2018-12-24,snowflake,0.70,100.00
2018-12-25,snowflake,1.50,100.00
2018-12-26,snowflake,1.70,100.00
2018-12-27,snowflake,1.50,100.00
2018-12-28,snowflake,2.61,100.00
2018-12-29,snowflake,3.60,100.00
2018-12-30,snowflake,2.69,100.00
2018-12-31,snowflake,1.50,100.00
2019-01-01,snowflake,2.30,100.00
2019-01-02,snowflake,2.50,100.00
2019-01-03,snowflake,2.00,100.00
2019-01-04,snowflake,2.30,100.00
2019-01-05,snowflake,2.80,100.00
2019-01-06,snowflake,3.10,100.00
2019-01-07,snowflake,3.60,100.00
2019-01-08,snowflake,3.30,100.00
2019-01-09,snowflake,2.50,100.00
2019-01-10,snowflake,2.91,100.00
2019-01-11,snowflake,3.18,100.00
2019-01-12,snowflake,1.50,100.00
2019-01-13,snowflake,1.70,100.00
2019-01-14,snowflake,1.81,100.00
2019-01-15,snowflake,2.19,100.00
2019-01-16,snowflake,1.20,100.00
2019-01-17,snowflake,1.81,100.00
2019-01-18,snowflake,2.19,100.00
2019-01-19,snowflake,1.50,100.00
2019-01-20,snowflake,2.00,100.00
2019-01-21,snowflake,1.70,100.00
2019-01-22,snowflake,1.50,100.00
2019-01-23,snowflake,2.30,100.00
2019-01-24,snowflake,3.10,100.00
2019-01-25,snowflake,2.99,100.00
2019-01-26,snowflake,2.00,100.00
2019-01-27,snowflake,2.61,100.00
2019-01-28,snowflake,3.30,100.00
2019-01-29,snowflake,1.73,100.00
2019-01-30,snowflake,4.35,100.00
2019-01-31,snowflake,4.26,100.00
2019-02-01,snowflake,3.60,100.00
2019-02-02,snowflake,4.18,100.00
2019-02-03,snowflake,3.82,100.00
2019-02-04,snowflake,3.02,100.00
2019-02-05,snowflake,3.96,100.00
2019-02-06,snowflake,4.40,100.00
2019-02-07,snowflake,2.66,100.00
